# planets   transits   detectable
    23044        226           18
    23146        246           26
    22980        266           22
    23264        258           32
    22750        222           24
    23272        250           26
    22644        284           50
    23558        284           40
    23192        268           34
    23034        244           36
    23358        280           22
    22878        268           30
    22932        268           30
    22612        218           20
    23006        256           18
    23492        246           34
    23098        228           28
    23156        254           30
    23236        222           30
    23224        226           30
    22898        258           30
    23116        268           48
    23146        212           38
    23228        280           32
    22934        250           34
    23132        232           22
    23112        252           30
    23214        232           24
    23320        254           36
    22628        248           26
    22826        282           32
    23206        280           18
    23402        268           38
    23146        236           28
    23506        216           28
    23170        254           28
    22940        256           46
    22942        248           34
    23386        228           18
    23364        230           28
    22948        248           24
    23176        222           26
    23036        264           32
    23152        242           26
    22934        252           28
    22980        264           22
    23248        264           34
    23014        246           24
    23406        282           42
    23128        224           26
    22392        190           22
    23084        252           34
    23026        226           24
    23148        252           28
    22934        206           18
    22984        268           28
    22804        266           22
    23386        208           26
    23310        260           40
    22968        276           40
    23168        302           28
    22720        218           20
    22860        250           24
    22896        250           32
    23404        262           28
    23374        254           42
    23250        234           30
    23418        238           34
    23114        258           36
    23232        236           18
    23290        250           26
    23244        246           32
    23038        210           20
    23096        230           22
    23228        232           28
    23192        244           34
    23112        242           24
    23386        212           36
    23208        230           34
    22970        248           20
    23160        272           28
    23462        272           26
    22948        250           20
    23120        230           32
    23498        224           30
    22956        246           20
    23170        254           26
    23416        202           16
    23084        244           42
    23404        288           38
    23252        218           22
    23188        248           32
    23084        236           28
    23142        270           34
    23494        248           22
    22714        284           44
    23288        242           24
    23300        276           36
    23304        242           28
    23210        284           26
    23488        278           26
    22958        238           36
    22950        218           20
    23076        264           36
    23136        242           26
    23316        254           34
    23190        250           26
    22782        266           38
    23034        190           26
    23150        240           22
    22942        252           32
    23022        264           30
    23380        272           44
    22960        218           20
    22818        244           40
    23072        244           42
    22848        188           12
    22844        234           30
    23212        264           28
    23246        228           26
    23014        194           30
    22888        230           26
    22900        252           26
    22854        244           26
    23412        270           22
    22924        272           34
    22978        224           18
    22906        256           26
    23296        216           20
    22950        212           16
    23016        220           22
    23142        234           40
    22890        194           24
    23144        208           30
    23050        226           22
    22972        266           30
    23492        274           26
    23190        250           28
    23142        256           40
    23466        264           36
    22844        284           48
    22758        240           34
    23344        268           14
    23130        288           28
    23142        218           12
    23186        242           24
    23064        264           38
    23178        258           32
    23078        232           20
    23206        238           16
    23150        260           36
    22930        222           38
    23254        248           22
    23034        284           34
    23366        244           22
    23000        240           22
    23148        232           30
    23336        232           30
    23210        238           14
    23134        282           36
    23072        272           34
    23420        198           26
    22786        256           28
    23036        278           36
    22968        244           20
    23072        282           40
    23028        198           26
    23398        232           32
    22938        240           26
    23208        258           32
    23126        266           40
    23076        218           30
    23328        290           32
    23014        260           26
    23088        242           24
    22980        220           24
    23170        232           22
    22932        246           28
    22704        262           30
    22646        250           32
    22800        256           30
    23342        254           30
    23158        274           38
    23584        276           24
    22930        276           40
    22960        214           18
    22942        232           22
    23326        228           30
    23050        226           38
    23052        248           20
    22800        250           26
    22950        278           52
    22702        262           46
    22762        234           22
    23330        224           22
    23070        248           28
    23232        212           20
    22674        222           10
    23168        248           26
    22868        248           30
    22940        208           14
    23290        288           24
    23180        264           24
    22994        242           22
    23378        244           26
    22916        266           26
    23232        236           28
    23034        250           38
    23532        232           26
    22954        196           16
    22944        244           16
    23182        226           18
    22938        198           20
    23162        226           30
    23030        238           20
    23250        260           40
    23018        258           40
    22654        274           16
    23432        236           20
    22770        256           24
    22640        206           24
    23048        248           24
    23166        200           14
    23000        222           26
    23268        256           26
    23384        258           34
    23132        284           44
    23372        236           28
    22990        276           22
    23334        226           26
    23040        198           20
    22724        210           24
    23190        230           34
    22738        266           12
    23334        238           18
    23130        238           14
    23116        242           34
    23416        266           22
    23332        240           34
    23578        234           44
    23274        274           28
    23064        270           44
    23054        224           28
    23330        228           28
    23452        260           20
    22830        260           16
    23136        278           26
    23136        228           28
    23176        216           22
    23616        278           32
    23082        282           32
    22932        240           40
    23472        256           28
    23120        248           28
    23114        238           16
    23126        222           14
    22714        220           14
    22934        212           22
    22944        234           24
    23368        274           26
    23384        226           26
    22806        296           28
    23136        264           26
    23316        244           26
    23252        246           34
    23020        214           28
    23136        266           24
    23004        288           26
    23050        198           24
    23118        266           32
    22978        258           38
    23282        250           24
    22670        232           34
    23338        256           12
    23144        250           30
    23262        264           22
    22964        234           30
    23110        264           30
    23108        240           14
    22826        270           34
    22984        266           38
    23070        250           34
    23112        220           20
    22858        242           26
    22826        262           36
    22836        242           22
    23000        248           34
    23128        240           30
    23062        222           14
    22966        218           16
    23096        218           20
    23200        224            8
    23118        250           22
    23070        212           20
    23240        262           24
    23338        280           22
    23054        232           26
    23272        244           32
    23086        244           38
    23444        278           48
    23228        262           32
    23278        238           22
    22972        224           24
    23020        292           30
    23036        236           26
    23224        246           30
    23084        236           32
    22878        240           28
    23288        220           26
    22934        256           26
    23100        266           36
    22716        236           24
    23224        290           26
    22882        248           26
    22916        238           20
    23136        242           30
    23336        246           24
    23410        286           34
    23042        230           32
    23110        224           22
    23002        242           20
    23226        248           26
    23164        258           20
    23364        260           34
    22858        208           26
    23102        260           30
    23270        260           36
    23034        258           34
    23078        244           32
    23230        228           38
    23068        242           18
    22678        230           24
    22970        256           26
    23192        222           22
    23168        208           34
    23020        270           34
    22794        270           36
    22890        280           26
    23348        260           14
    23004        214           28
    23002        246           36
    22776        210           14
    23236        228           26
    23376        234           26
    22772        272           38
    23154        290           32
    23284        268           34
    23174        242           34
    22952        230           24
    23072        250           26
    23072        244           38
    22872        256           34
    22866        234           24
    23090        266           34
    22932        272           36
    23106        272           38
    23102        228           24
    23334        274           30
    22864        264           14
    23316        266           32
    23132        246           24
    23278        248           26
    23008        250           42
    23060        262           44
